system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
1_126,0.15815000236034393,0.14970000088214874,0.1606999933719635,0.1080000028014183,0.07479999959468842,0.06260000169277191,0.10080000013113022,0.15334999561309814,-0.229063077357685,0.1735220703531518,Semey,0.40258514881134033,1,50.527685676602204,80.71041137152191,"{""type"":""Point"",""coordinates"":[80.71041137152191,50.527685676602204]}"
1_131,0.1762000024318695,0.15105000138282776,0.1818999946117401,0.10599999874830246,0.07460000365972519,0.058400001376867294,0.09920000284910202,0.1700499951839447,-0.2942013251855628,0.2320231763937748,Semey,0.5262244939804077,1,50.504676721309245,80.95548184078689,"{""type"":""Point"",""coordinates"":[80.95548184078689,50.504676721309245]}"
1_134,0.164900004863739,0.1396999955177307,0.1889999955892563,0.09549999982118607,0.05260000005364418,0.0458500012755394,0.0868000015616417,0.1676499992609024,-0.37055835780773444,0.27417822417399845,Semey,0.6447365880012512,1,50.472628505084735,80.82283134395688,"{""type"":""Point"",""coordinates"":[80.82283134395688,50.472628505084735]}"
1_135,0.17204999923706055,0.16519999504089355,0.17784999310970306,0.11860000342130661,0.07724999636411667,0.06679999828338623,0.10270000249147415,0.1724500060081482,-0.26786666118883223,0.18501975894934247,Semey,0.4528864324092865,1,50.47585253189143,80.82315624897386,"{""type"":""Point"",""coordinates"":[80.82315624897386,50.47585253189143]}"
1_136,0.14184999465942383,0.12399999797344208,0.14030000567436218,0.08344999700784683,0.05920000001788139,0.04170000180602074,0.0823500007390976,0.149399995803833,-0.26027398727153755,0.28322955049143594,Semey,0.5435035228729248,1,50.422334723494714,80.74295892983535,"{""type"":""Point"",""coordinates"":[80.74295892983535,50.422334723494714]}"
1_138,0.14339999854564667,0.1075500026345253,0.16459999978542328,0.07289999723434448,0.04259999841451645,0.030750000849366188,0.061000000685453415,0.14274999499320984,-0.4592198532080405,0.3239044761251811,Semey,0.7831243276596069,1,50.595846162618194,80.71828216654711,"{""type"":""Point"",""coordinates"":[80.71828216654711,50.595846162618194]}"
1_139,0.13760000467300415,0.10554999858140945,0.1623000055551529,0.06400000303983688,0.053199999034404755,0.03280000016093254,0.0731000006198883,0.16165000200271606,-0.37892949275853594,0.4327498195467108,Semey,0.8116793036460876,1,50.571440212390776,80.90960357114871,"{""type"":""Point"",""coordinates"":[80.90960357114871,50.571440212390776]}"
1_153,0.19509999454021454,0.18964999914169312,0.2289000004529953,0.14145000278949738,0.08139999955892563,0.06939999759197235,0.1111999973654747,0.15919999778270721,-0.346074695214622,0.05903873261076868,Semey,0.40511342883110046,1,50.57563623078769,80.68921831988239,"{""type"":""Point"",""coordinates"":[80.68921831988239,50.57563623078769]}"
1_154,0.24815000593662262,0.19155000150203705,0.2612999975681305,0.14925000071525574,0.11219999939203262,0.06755000352859497,0.15760000050067902,0.17810000479221344,-0.24755310944264428,0.08813197981235235,Semey,0.3356851041316986,1,50.423972972384924,80.89875009272467,"{""type"":""Point"",""coordinates"":[80.89875009272467,50.423972972384924]}"
1_158,0.21969999372959137,0.18074999749660492,0.24650000035762787,0.1363999992609024,0.10719999670982361,0.08649999648332596,0.12939999997615814,0.17614999413490295,-0.3115190217544268,0.127179637542536,Semey,0.4386986494064331,1,50.60379574464911,80.78394143858964,"{""type"":""Point"",""coordinates"":[80.78394143858964,50.60379574464911]}"
