system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,latitude,longitude,.geo
2_1_413,0.18299999833106995,0.2556000053882599,0.20264999568462372,0.1776999980211258,0.03294999897480011,0.07240000367164612,0.07254999876022339,0.1632000058889389,-0.47274709139019877,-0.04253444401840558,Karkaraly,0.4302126467227936,1,49.21598278396659,75.44085815324999,"{""type"":""Point"",""coordinates"":[75.44085815324999,49.21598278396659]}"
2_1_418,0.18995000422000885,0.19769999384880066,0.10289999842643738,0.09769999980926514,0.05485000088810921,0.0502999983727932,0.16474999487400055,0.33489999175071716,0.23108536519982784,0.5483125209644462,Karkaraly,0.31722715497016907,1,49.229727437887234,75.35333744751402,"{""type"":""Point"",""coordinates"":[75.35333744751402,49.229727437887234]}"
2_1_420,0.23444999754428864,0.27070000767707825,0.24844999611377716,0.16750000417232513,0.06174999848008156,0.08429999649524689,0.10324999690055847,0.21299999952316284,-0.41285186834592913,0.11957948727709107,Karkaraly,0.5324313640594482,1,49.21805483843156,75.37584707318928,"{""type"":""Point"",""coordinates"":[75.37584707318928,49.21805483843156]}"
2_1_423,0.22920000553131104,0.2727999985218048,0.23489999771118164,0.19550000131130219,0.06894999742507935,0.08619999885559082,0.1091499999165535,0.17440000176429749,-0.3654991968076996,-0.057042442204825586,Karkaraly,0.30845674872398376,1,49.20977985758008,75.35554609875524,"{""type"":""Point"",""coordinates"":[75.35554609875524,49.20977985758008]}"
2_1_424,0.2110999971628189,0.26840001344680786,0.21780000627040863,0.19689999520778656,0.06650000065565109,0.09390000253915787,0.10400000214576721,0.17520000040531158,-0.35363580220130614,-0.05831764326339359,Karkaraly,0.2953181564807892,1,49.21014276695525,75.4156533926694,"{""type"":""Point"",""coordinates"":[75.4156533926694,49.21014276695525]}"
2_1_430,0.22724999487400055,0.2985999882221222,0.24255000054836273,0.20880000293254852,0.05689999833703041,0.09549999982118607,0.09969999641180038,0.18549999594688416,-0.41738496831364374,-0.05909207976637337,Karkaraly,0.3582928776741028,1,49.201168645424204,75.40457339973818,"{""type"":""Point"",""coordinates"":[75.40457339973818,49.201168645424204]}"
2_1_431,0.24070000648498535,0.3068999946117401,0.24390000104904175,0.21619999408721924,0.07045000046491623,0.09549999982118607,0.10445000231266022,0.18039999902248383,-0.4003157668742335,-0.0902672609347041,Karkaraly,0.31004852056503296,1,49.18487556431888,75.37052751391687,"{""type"":""Point"",""coordinates"":[75.37052751391687,49.18487556431888]}"
2_1_434,0.2138500064611435,0.26570001244544983,0.22689999639987946,0.17669999599456787,0.05925000086426735,0.0869000032544136,0.09040000289678574,0.20309999585151672,-0.43019222756275727,0.06951026967806664,Karkaraly,0.49970248341560364,1,49.21677962180927,75.4017417687593,"{""type"":""Point"",""coordinates"":[75.4017417687593,49.21677962180927]}"
2_1_441,0.16294999420642853,0.2671999931335449,0.20045000314712524,0.1606999933719635,0.0385500006377697,0.07850000262260437,0.06134999915957451,0.2094999998807907,-0.5313216301067657,0.13182065747772442,Karkaraly,0.6631422638893127,1,49.20358473539358,75.37071461151986,"{""type"":""Point"",""coordinates"":[75.37071461151986,49.20358473539358]}"
2_1_442,0.2611500024795532,0.24400000274181366,0.24230000376701355,0.12489999830722809,0.06639999896287918,0.066600002348423,0.11649999767541885,0.29840001463890076,-0.35061317052914964,0.409874819337067,Karkaraly,0.760487973690033,1,49.19891221995818,75.41541112844666,"{""type"":""Point"",""coordinates"":[75.41541112844666,49.19891221995818]}"
