system:index,B11_post,B11_pre,B12_post,B12_pre,B4_post,B4_pre,B8A_post,B8A_pre,NBR_post,NBR_pre,area,dNBR,label,.geo
2_2_654,0.2313999980688095,0.2531000077724457,0.16744999587535858,0.19760000705718994,0.0997999981045723,0.08060000091791153,0.24345000088214874,0.25290000438690186,0.18495985788883218,0.12275248817962524,Karkaraly,-0.06220737099647522,0,"{""type"":""Point"",""coordinates"":[75.45400178460288,49.227655520337386]}"
2_2_663,0.2198999971151352,0.24070000648498535,0.15230000019073486,0.16830000281333923,0.08879999816417694,0.08669999986886978,0.21584999561309814,0.22910000383853912,0.1726198455702974,0.15299446403497566,Karkaraly,-0.019625380635261536,0,"{""type"":""Point"",""coordinates"":[75.39043650663903,49.23624210752666]}"
2_2_665,0.1724500060081482,0.2012999951839447,0.1091499999165535,0.12890000641345978,0.051350001245737076,0.05660000070929527,0.20645000040531158,0.2475000023841858,0.3083016488895011,0.3150903113673569,Karkaraly,0.006788662634789944,0,"{""type"":""Point"",""coordinates"":[75.43947311906965,49.23794750580258]}"
2_2_695,0.2703000009059906,0.2827000021934509,0.20055000483989716,0.21899999678134918,0.09634999930858612,0.09860000014305115,0.2037999927997589,0.22509999573230743,0.008037561466138654,0.013735642994343598,Karkaraly,0.005698081571608782,0,"{""type"":""Point"",""coordinates"":[75.3559845968838,49.23824050161193]}"
2_2_698,0.3512499928474426,0.35269999504089355,0.29205000400543213,0.2987000048160553,0.1460999995470047,0.1477999985218048,0.24869999289512634,0.25110000371932983,-0.08016645651183917,-0.08657693771873037,Karkaraly,-0.006410481408238411,0,"{""type"":""Point"",""coordinates"":[75.4140650529195,49.23273225856837]}"
2_2_699,0.3000999987125397,0.3151000142097473,0.2386000007390976,0.2591499984264374,0.11999999731779099,0.12540000677108765,0.21085000038146973,0.21975000202655792,-0.06174212991087252,-0.0822718654470885,Karkaraly,-0.02052973583340645,0,"{""type"":""Point"",""coordinates"":[75.3882882178673,49.238164951846805]}"
2_2_708,0.2828499972820282,0.2971999943256378,0.22179999947547913,0.22699999809265137,0.12319999933242798,0.12219999730587006,0.21854999661445618,0.23280000686645508,-0.007380499352517723,0.012614199024029046,Karkaraly,0.019994698464870453,0,"{""type"":""Point"",""coordinates"":[75.45645975081514,49.23351174155466]}"
2_2_730,0.3443000018596649,0.37904998660087585,0.2962000072002411,0.3265500068664551,0.17550000548362732,0.18860000371932983,0.2685000002384186,0.297650009393692,-0.04905260598005466,-0.04629925780187491,Karkaraly,0.0027533480897545815,0,"{""type"":""Point"",""coordinates"":[75.38531924085676,49.239901412995884]}"
2_2_735,0.29144999384880066,0.30169999599456787,0.21789999306201935,0.22619999945163727,0.09835000336170197,0.10050000250339508,0.16910000145435333,0.1923999935388565,-0.12609817131561082,-0.08074535709213054,Karkaraly,0.045352812856435776,0,"{""type"":""Point"",""coordinates"":[75.37662752172217,49.17634344236585]}"
2_2_738,0.18080000579357147,0.1996999979019165,0.11410000175237656,0.11599999666213989,0.04439999908208847,0.03150000050663948,0.25429999828338623,0.28369998931884766,0.3805645942383269,0.41956466984886187,Karkaraly,0.039000075310468674,0,"{""type"":""Point"",""coordinates"":[75.39532252397387,49.2379548331726]}"
